Question,CorrectLetter,CorrectOptionText
1,B,Value
2,B,Execution and adoption
3,B,Learning key principles fostering innovation
4,C,Fear of ridicule or punishment
5,B,Lean startup methodology
6,B,Risk aversion
7,B,By slowing down decision-making, which kills innovation
8,A,Short-term focus
9,B,Flatten hierarchies to speed up decision-making
10,B,Network outside your field
11,B,nurtures breakthroughs every day.
12,B,Persuading a customer to purchase a specific product or service
13,B,Handling objections and closing sales
14,B,Marketing
15,B,Creating leads and building brand awareness
16,C,Societal Marketing
17,B,Aggressive promotion and persuasion
18,B,Make and Sell
19,B,Sense and Respond
20,B,Long-term
21,B,The 4Ps: Product, Price, Place, Promotion
22,B,Needs
23,C,Want
24,A,A demand
25,B,Build relationships, drive engagement, and ultimately drive sales
26,B,Transformation of a market opportunity into a product available for sale
27,B,Seven (7)
28,C,Idea Generation
29,B,Idea Generation
30,B,Substitute
31,C,Concept Development and Feasibility Analysis (Product Definition)
32,A,Business model Canvas
33,C,Design and Prototyping
34,B,Testing and Validation
35,C,Production Planning
36,B,Marketing Mix i.e 4Ps
37,B,Post-Launch Evaluation
38,B,Apple product (iPhone)
39,B,A specific opportunity or idea
40,B,Economic, Social / Cultural, and Technological environments
41,B,Economic Environment
42,A,Social / Cultural Envts.
43,C,Technological Envts.
44,B,Opportunity Identification and Evaluation (Step 1)
45,A,Technical, financial, and market value of the idea
46,B,Gathering Human, Financial, and social Capital
47,A,Venture Capital, Angel Investors and Crowdfunding
48,A,E-Business or Traditional physical trading
49,B,Business Growth, Sustainability and Adaptation (Step 5)
50,B,A commercial interaction which utilizes computer network to ensure engagement of trading activities
51,B,Extranet
52,B,Intranet
53,B,Employee services, training, internal information-sharing, and recruiting
54,B,Promotional and marketing efforts, selling over the Internet
55,B,The cost to set up and transaction cost is effectively less.
56,B,Flexible Business Hours
57,B,The trading or facilitation of trading in products or services using computer networks
58,A,Individual consumers
59,B,Economic, Marketing/Interaction, and Technological Forces
60,A,Digital Marketing, Internet marketing, or online marketing
61,B,In-app PPC ads and push notifications
62,B,Electronic billboards
63,A,Cybersecurity
64,B,Innovation, risk-taking, and proactive problem solving
65,B,70%
66,C,50%
67,B,Proactivity
68,A,Autonomy
69,B,Resilience
70,B,Ability to take calculated risk and commit to innovation
71,B,Failure
72,B,Resistance to change and resources constraint in startups
73,B,Demand exceeds supply
74,B,Exceeds the quantity supplied
75,B,Latent Demand
76,C,Quality Gap
77,B,Market Gap
78,B,Poor service delivery, high prices, and lack of accessibility
79,B,Not adequately solved by existing products
80,B,Market research
81,A,Primary Research
82,B,Secondary Research
83,B,Unutilized resources
84,B,Human Resources
85,A,Technology adoption gap
86,B,Social Conditions
87,B,Climate Conditions
88,B,Raising capital, managing business funds, investment decisions, and risk management
89,B,New and high-growth businesses with strong potential
90,B,Loss of partial ownership and investors may influence decisions
91,B,Equity finance
92,A,No repayment obligation and reduces debt burden
93,B,Low-income entrepreneurs and small businesses
94,B,LAPO Microfinance Bank
95,B,Full ownership is retained and there is no interest payment.
96,B,Identify viable business ideas and provide seed funding
97,B,Innovative and low-cost
98,B,Entrepreneurial Marketing
99,B,Poor access to capital, high interest rates, and inadequate collateral
100,B,A mutually acceptable agreement
101,B,Competitive Strategy
102,B,Cooperative Strategy
103,B,Compromise Strategy
104,C,Avoidance Strategy
105,A,Tactic
106,B,Good Cop/Bad Cop
107,B,Traditional Business Communication Methods
108,B,Faster communication and wider global reach
109,B,Slower delivery and expensive in some cases
110,B,Language barriers, poor listening skills, and noise
